"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\brock\source\repos\social\ui\src\components\project-notes\contributor.js", "JavaScript", 25, 0, 7, 4, 36
"c:\Users\brock\source\repos\social\ui\src\components\project-notes\contributorListPage.js", "JavaScript", 55, 0, 19, 13, 87
"c:\Users\brock\source\repos\social\ui\src\components\project-notes\contributorNavbar.js", "JavaScript", 18, 0, 1, 2, 21
"c:\Users\brock\source\repos\social\ui\src\components\project-notes\createContributor.js", "JavaScript", 74, 0, 8, 12, 94
"c:\Users\brock\source\repos\social\ui\src\components\project-notes\editContributor.js", "JavaScript", 94, 0, 7, 19, 120
"c:\Users\brock\source\repos\social\ui\src\components\register\Register.js", "JavaScript", 157, 0, 2, 8, 167
"c:\Users\brock\source\repos\social\ui\src\components\register\register.css", "CSS", 0, 4, 0, 0, 4
"c:\Users\brock\source\repos\social\ui\src\components\users\Landingpage.js", "JavaScript", 21, 0, 3, 3, 27
"c:\Users\brock\source\repos\social\ui\src\components\users\Login.js", "JavaScript", 140, 0, 1, 12, 153
"c:\Users\brock\source\repos\social\ui\src\components\users\PrivateUserProfile.js", "JavaScript", 194, 0, 7, 16, 217
"c:\Users\brock\source\repos\social\ui\src\components\users\PublicProfilePage.js", "JavaScript", 37, 0, 11, 15, 63
"c:\Users\brock\source\repos\social\ui\src\components\users\PublicUser.js", "JavaScript", 67, 0, 0, 16, 83
"c:\Users\brock\source\repos\social\ui\src\components\users\editUserPage.js", "JavaScript", 128, 0, 9, 15, 152
"c:\Users\brock\source\repos\social\ui\src\index.js", "JavaScript", 18, 0, 3, 3, 24
"c:\Users\brock\source\repos\social\ui\src\utilities\decodeJwt.js", "JavaScript", 7, 0, 0, 2, 9
"Total", "-", 2678, 153, 218, 503, 3552
